year,region,country,attack_type,group_name,killed,wounded,total_casualties,target_type,weapon_type,success,latitude,longitude
1990,South Asia,India,Assassination,Eastern Resistance,1,2,3,Military,Melee,1,20.8138,76.1402
1990,Middle East,Afghanistan,Hostage Taking,Red Crescent Brigade,1,0,1,Police,Vehicle,1,25.5189,37.2807
1990,Central Asia,Tajikistan,Hostage Taking,Crimson Path,0,0,0,Government,Vehicle,1,46.7694,74.194
1990,Americas,Peru,Armed Assault,Red Crescent Brigade,0,3,3,Business,Firearms,1,24.8913,-70.9081
1990,Central Asia,Kyrgyzstan,Assassination,Shadow Front,0,2,2,Police,Vehicle,1,39.4862,68.4479
1990,Africa,Sudan,Hostage Taking,Eastern Resistance,0,2,2,Government,Vehicle,1,17.3794,25.8371
1990,Southeast Asia,Indonesia,Armed Assault,Iron Vanguard,0,3,3,Military,Explosives,0,19.7369,98.7096
1990,Central Asia,Tajikistan,Bombing/Explosion,Storm Seekers,23,24,47,Business,Firearms,1,46.2257,73.4487
1990,South Asia,India,Armed Assault,Eastern Resistance,0,25,25,Religious,Chemical,1,31.9307,73.9078
1990,Middle East,Afghanistan,Bombing/Explosion,Unknown Cell,37,10,47,Civilians,Unknown,0,25.5859,46.8332
1990,Central Asia,Tajikistan,Bombing/Explosion,Storm Seekers,7,121,128,Government,Explosives,1,45.0771,72.1978
1990,Americas,Colombia,Armed Assault,Silent Thunder,7,9,16,Religious,Explosives,1,24.0179,-81.8771
1990,Central Asia,Kyrgyzstan,Bombing/Explosion,Silent Thunder,32,9,41,Civilians,Explosives,1,40.8295,76.9722
1990,Americas,Honduras,Armed Assault,Black Sun Collective,4,3,7,Civilians,Vehicle,1,9.8016,-70.7281
1990,Middle East,Syria,Bombing/Explosion,Iron Vanguard,28,22,50,Government,Vehicle,1,33.7833,54.9679
1990,Europe,Kosovo,Hostage Taking,Iron Vanguard,1,0,1,Government,Melee,0,47.2422,23.9761
1990,Americas,Mexico,Armed Assault,Crimson Path,1,8,9,Police,Vehicle,1,16.2611,-79.4232
1990,Central Asia,Tajikistan,Assassination,Eastern Resistance,2,2,4,Religious,Vehicle,0,38.9295,72.7001
1990,South Asia,Sri Lanka,Unarmed Assault,Black Sun Collective,0,9,9,Civilians,Chemical,1,21.6416,74.9769
1990,Central Asia,Tajikistan,Armed Assault,Black Sun Collective,0,37,37,Government,Firearms,1,41.0041,68.7298
1990,Americas,Colombia,Assassination,Eastern Resistance,0,3,3,Religious,Explosives,1,15.213,-79.6745
1990,Southeast Asia,Thailand,Armed Assault,Storm Seekers,0,28,28,Police,Chemical,1,13.5586,98.4181
1990,South Asia,Sri Lanka,Facility Attack,Frontier Guard,3,1,4,Religious,Explosives,1,30.7956,75.1435
1991,Central Asia,Kyrgyzstan,Armed Assault,Northern Covenant,3,2,5,Military,Melee,1,47.1811,77.1501
1991,Middle East,Lebanon,Hijacking,Shadow Front,0,4,4,Police,Melee,0,25.3823,51.4969
1991,Middle East,Iraq,Bombing/Explosion,Silent Thunder,10,41,51,Business,Vehicle,1,29.2662,55.0738
1991,Southeast Asia,Indonesia,Armed Assault,Black Sun Collective,8,13,21,Government,Chemical,1,16.4547,115.7088
1991,Middle East,Syria,Bombing/Explosion,Free Sons Movement,2,7,9,Civilians,Firearms,1,24.2065,64.1451
1991,South Asia,Bangladesh,Assassination,Grey Wolf Alliance,3,10,13,Military,Unknown,1,29.8943,88.5965
1991,Middle East,Afghanistan,Hostage Taking,Red Crescent Brigade,0,0,0,Religious,Firearms,1,24.2836,40.8171
1991,Southeast Asia,Indonesia,Hijacking,Desert Storm Faction,0,6,6,Business,Vehicle,1,12.6418,102.2789
1991,Central Asia,Tajikistan,Bombing/Explosion,Black Sun Collective,5,14,19,Police,Explosives,1,46.4763,71.4768
1991,Southeast Asia,Thailand,Bombing/Explosion,Storm Seekers,39,0,39,Police,Vehicle,1,15.0477,113.3449
1991,South Asia,India,Armed Assault,Storm Seekers,0,11,11,Police,Vehicle,1,22.3846,74.4284
1991,Europe,Ukraine,Armed Assault,Desert Storm Faction,19,3,22,Religious,Unknown,1,48.3702,15.5202
1991,South Asia,Bangladesh,Armed Assault,Unknown Cell,5,7,12,Business,Firearms,1,23.2791,84.4394
1991,Central Asia,Kyrgyzstan,Assassination,Black Sun Collective,1,2,3,Religious,Firearms,0,45.23,70.8556
1991,Southeast Asia,Thailand,Facility Attack,Storm Seekers,3,4,7,Police,Firearms,1,9.8018,117.4776
1991,South Asia,Sri Lanka,Bombing/Explosion,Eastern Resistance,11,24,35,Government,Chemical,1,28.6305,90.6333
1991,South Asia,Sri Lanka,Assassination,Red Crescent Brigade,1,5,6,Business,Explosives,1,14.781,84.2463
1991,Middle East,Iraq,Armed Assault,Desert Storm Faction,0,21,21,Government,Explosives,1,25.5689,42.4988
1991,Central Asia,Tajikistan,Hostage Taking,Grey Wolf Alliance,1,0,1,Business,Chemical,1,39.5118,75.352
1991,Southeast Asia,Philippines,Hostage Taking,Iron Vanguard,0,0,0,Business,Vehicle,0,21.365,117.6729
1991,Americas,Colombia,Facility Attack,Northern Covenant,1,3,4,Government,Explosives,1,8.3409,-87.0485
1991,South Asia,Nepal,Hostage Taking,Liberation Front Alpha,0,0,0,Government,Chemical,1,30.6328,71.7031
1991,Central Asia,Kazakhstan,Bombing/Explosion,Northern Covenant,30,9,39,Police,Firearms,1,42.1575,76.5355
1991,Africa,Libya,Armed Assault,Storm Seekers,13,9,22,Religious,Explosives,1,12.88,23.2803
1991,South Asia,Sri Lanka,Hostage Taking,Black Sun Collective,2,1,3,Police,Chemical,1,13.9327,87.2424
1992,Central Asia,Kyrgyzstan,Facility Attack,Silent Thunder,0,8,8,Business,Melee,0,42.4258,76.5523
1992,Middle East,Iraq,Armed Assault,Crimson Path,0,7,7,Civilians,Vehicle,0,26.1362,37.7826
1992,Southeast Asia,Myanmar,Unarmed Assault,Unknown Cell,7,0,7,Business,Explosives,0,21.6608,118.9721
1992,Africa,Ethiopia,Armed Assault,Liberation Front Alpha,3,15,18,Government,Unknown,1,16.8387,33.0896
1992,Middle East,Afghanistan,Unarmed Assault,Northern Covenant,6,5,11,Business,Chemical,0,33.1038,48.9395
1992,Americas,Honduras,Assassination,Crimson Path,0,3,3,Military,Unknown,1,21.2366,-73.7811
1992,Africa,Somalia,Bombing/Explosion,Grey Wolf Alliance,6,34,40,Business,Melee,1,12.972,38.156
1992,Africa,Mali,Bombing/Explosion,Shadow Front,55,34,89,Civilians,Chemical,1,3.5177,30.3419
1992,Central Asia,Kyrgyzstan,Assassination,Grey Wolf Alliance,3,0,3,Civilians,Firearms,0,41.0394,71.3412
1992,Southeast Asia,Philippines,Facility Attack,Storm Seekers,6,13,19,Civilians,Melee,1,11.026,96.432
1992,Europe,Bosnia,Assassination,Frontier Guard,0,6,6,Business,Explosives,1,51.7954,35.1347
1992,Southeast Asia,Myanmar,Armed Assault,Red Crescent Brigade,2,13,15,Religious,Melee,1,18.8563,112.183
1992,Europe,Turkey,Hostage Taking,Liberation Front Alpha,1,1,2,Police,Explosives,1,46.9884,35.5711
1992,Middle East,Syria,Hostage Taking,Eastern Resistance,0,1,1,Military,Vehicle,1,24.8085,61.7668
1992,Europe,Ukraine,Armed Assault,Free Sons Movement,6,27,33,Government,Chemical,1,46.7076,34.4706
1992,Americas,El Salvador,Assassination,Black Sun Collective,1,1,2,Military,Vehicle,0,23.9564,-71.7071
1992,South Asia,Sri Lanka,Armed Assault,Iron Vanguard,11,6,17,Religious,Vehicle,1,26.3176,88.7185
1992,South Asia,Bangladesh,Armed Assault,Iron Vanguard,8,12,20,Business,Unknown,1,22.5347,90.1207
1992,Central Asia,Tajikistan,Bombing/Explosion,Liberation Front Alpha,39,24,63,Government,Melee,1,38.4028,67.2996
1992,Africa,Libya,Bombing/Explosion,Shadow Front,12,4,16,Government,Explosives,1,-1.4465,28.868
1992,Africa,Mali,Bombing/Explosion,Free Sons Movement,2,4,6,Civilians,Unknown,1,-1.9418,21.1568
1992,Europe,Kosovo,Assassination,Free Sons Movement,0,3,3,Religious,Chemical,1,44.0539,24.4326
1992,Central Asia,Kyrgyzstan,Bombing/Explosion,Eastern Resistance,24,20,44,Military,Firearms,1,42.6094,71.7489
1992,Central Asia,Kyrgyzstan,Armed Assault,Black Sun Collective,14,56,70,Government,Chemical,1,42.0963,68.4923
1992,Americas,Colombia,Unarmed Assault,Silent Thunder,5,5,10,Civilians,Vehicle,0,17.9183,-68.3512
1993,Southeast Asia,Thailand,Assassination,Grey Wolf Alliance,1,1,2,Business,Explosives,0,6.4476,123.655
1993,Central Asia,Kazakhstan,Unarmed Assault,Iron Vanguard,0,2,2,Religious,Chemical,1,42.7584,78.453
1993,Americas,Mexico,Hijacking,Unknown Cell,2,2,4,Business,Melee,0,9.9057,-72.3596
1993,Europe,Ukraine,Facility Attack,Unknown Cell,1,4,5,Civilians,Chemical,1,47.0667,27.2868
1993,Africa,Ethiopia,Bombing/Explosion,Iron Vanguard,30,1,31,Civilians,Explosives,1,2.9346,18.2297
1993,Americas,Mexico,Bombing/Explosion,Black Sun Collective,8,51,59,Religious,Firearms,1,6.7926,-82.3301
1993,South Asia,India,Assassination,Iron Vanguard,1,0,1,Government,Melee,1,26.5458,75.1526
1993,South Asia,Bangladesh,Unarmed Assault,Northern Covenant,2,8,10,Military,Melee,1,29.5213,70.9032
1993,Central Asia,Kyrgyzstan,Assassination,Desert Storm Faction,1,0,1,Civilians,Vehicle,1,43.0442,79.2404
1993,Africa,Mozambique,Assassination,Unknown Cell,0,1,1,Civilians,Explosives,1,5.1873,17.4797
1993,Africa,Somalia,Bombing/Explosion,Eastern Resistance,15,38,53,Civilians,Chemical,1,-1.8607,28.1839
1993,Central Asia,Kyrgyzstan,Armed Assault,Grey Wolf Alliance,0,26,26,Police,Firearms,1,47.8531,76.7304
1993,Americas,El Salvador,Bombing/Explosion,Red Crescent Brigade,0,12,12,Civilians,Vehicle,0,17.4146,-73.6735
1993,Middle East,Yemen,Bombing/Explosion,Storm Seekers,0,13,13,Military,Melee,0,28.942,46.1911
1993,Americas,Honduras,Bombing/Explosion,Black Sun Collective,13,19,32,Religious,Firearms,1,16.2616,-82.484
1993,Middle East,Syria,Hostage Taking,Crimson Path,0,1,1,Government,Melee,0,26.7411,50.6398
1993,Southeast Asia,Thailand,Assassination,Liberation Front Alpha,0,4,4,Military,Unknown,1,9.1808,124.4907
1993,Europe,Turkey,Armed Assault,Shadow Front,23,4,27,Civilians,Unknown,1,51.0671,30.2197
1993,Southeast Asia,Myanmar,Armed Assault,Crimson Path,5,5,10,Religious,Unknown,1,17.9619,111.1439
1993,Southeast Asia,Philippines,Armed Assault,Black Sun Collective,0,5,5,Business,Unknown,1,7.0981,124.1612
1993,Africa,Ethiopia,Bombing/Explosion,Northern Covenant,28,24,52,Police,Unknown,0,-1.8809,21.8554
1993,Middle East,Syria,Hostage Taking,Free Sons Movement,0,2,2,Business,Melee,0,33.2196,41.5538
1993,Southeast Asia,Thailand,Facility Attack,Desert Storm Faction,3,13,16,Police,Firearms,1,13.3947,105.89
1993,Southeast Asia,Myanmar,Bombing/Explosion,Eastern Resistance,15,22,37,Military,Unknown,1,19.7886,112.0731
1993,Americas,Mexico,Assassination,Frontier Guard,0,0,0,Military,Chemical,0,17.0595,-85.6118
1993,Southeast Asia,Philippines,Bombing/Explosion,Desert Storm Faction,64,7,71,Military,Chemical,1,19.9771,116.867
1993,Central Asia,Kyrgyzstan,Bombing/Explosion,Unknown Cell,68,20,88,Police,Unknown,1,44.1446,75.2102
